遥测名,ac,acc,ac evo,ac rally,F1 22,F1 23,F1 24,F1 25,Forza Motorsport,FH4,FH5,FH6,lmu,rf2,Dirt4,DirtRally2,eawrc,iracing,RaceRoom Racing Experience,"Automobilista 2",Project CARS 2,Project CARS 3,Richard Burns Rally,Euro Truck Simulator 2,American Truck Simulator,Live For Speed,BeamNG.drive,WRC 8,WRC 9,WRC 10,WRC Generations,,,,,,,
涡轮增压压力,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,不支持,,,,,,,
ERS电量百分比,支持,不支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
ERS部署模式,支持,不支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
ERS回收级别,支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
发动机是否启动,不支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,支持,,,,,,,
发动机点火状态,不支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,支持,,,,,,,
发动机动力档位(Map),不支持,支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
维修区限速是否开启,支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
是否在维修区,支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
TC是否触发,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
TC档位,支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
牵引力控制削减档位,不支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
ABS是否触发,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
ABS档位,支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
DRS是否可用,支持,不支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
DRS是否触发,支持,不支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
当前圈数,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,,,,,,,
总圈数,支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,支持,不支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,,,,,,,
排名,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,,,,,,,
当前圈时,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,,,,,,,
上一圈圈时,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
最佳圈时,支持,支持,支持,不支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
绿旗,不支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
蓝旗,支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
黄旗,支持,支持,支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
黑旗,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
白旗,不支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
方格旗,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,支持,不支持,不支持,不支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
处罚旗,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
橙旗,不支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
红旗,不支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,支持,不支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
安全车,不支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
虚拟安全车,不支持,不支持,不支持,不支持,支持,支持,支持,支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,不支持,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
